?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/MONDO_0002532>	"A neoplasm that is composed of squamous epithelial cells. Squamous cell carcinoma is a representative example."	"MESH:D018307 UMLS:C0206720 DOID:3168 NCIT:C3792"
<http://purl.obolibrary.org/obo/MONDO_0002169>	"An adenocarcinoma arising from the rectum. It is more frequently seen in populations with a Western type diet and in patients with a history of chronic inflammatory bowel disease. Signs and symptoms include intestinal bleeding, anemia, and change in bowel habits. According to the degree of cellular differentiation, rectal adenocarcinomas are divided into well, moderately, and poorly differentiated. Histologic variants include mucinous adenocarcinoma, signet ring cell carcinoma, medullary carcinoma, serrated adenocarcinoma, cribriform comedo-type adenocarcinoma, and micropapillary adenocarcinoma."	"DOID:1996 SCTID:254582000 UMLS:C0149978 ONCOTREE:READ EFO:0005631 NCIT:C9383"
<http://purl.obolibrary.org/obo/HP_0002011>		
<http://purl.obolibrary.org/obo/UBERON_0006217>		
<http://purl.obolibrary.org/obo/MONDO_0000376>	"A malignant neoplasm involving the respiratory system"	"ICD9:165.9 SCTID:449096009 ICD9:165.8 DOID:0050615 UMLS:C3164456"
<http://purl.obolibrary.org/obo/CHEBI_2571>	"An  alcohol derived from an aliphatic compound."	
<http://purl.obolibrary.org/obo/UBERON_0003052>		
<http://purl.obolibrary.org/obo/MONDO_0022034>	"Virus diseases caused by the Lentivirus genus. They are multi-organ diseases characterized by long incubation periods and persistent infection."	"MESH:D016180 EFO:1001357 UMLS:C0079680"
<http://purl.obolibrary.org/obo/UBERON_0000996>		
<http://purl.obolibrary.org/obo/HP_0001250>		
<http://purl.obolibrary.org/obo/MONDO_0005154>	"A disease involving the liver."	"UMLS:C4021780 ICD9:573.8 MESH:D008107 DOID:409 EFO:0001421 SCTID:235856003 ICD9:573.9 ICD10CM:K70-K77 NCIT:C3196"
<http://purl.obolibrary.org/obo/MONDO_0021258>	"A neoplasm (disease) that involves the optic choroid."	"NCIT:C2949"
<http://purl.obolibrary.org/obo/MONDO_0024417>	"Cognitive disorders characterized by an impaired ability to perceive the nature of objects or concepts through use of the sense organs. These include spatial neglect syndromes, where an individual does not attend to visual, auditory, or sensory stimuli presented from one side of the body."	"MESH:D010468"
<http://purl.obolibrary.org/obo/HP_0002012>		
<http://purl.obolibrary.org/obo/MONDO_0024317>	"Chronic form of disorder involving pain."	"UMLS:C1298685 SCTID:373621006 ICD9:338.4 ICD10CM:G89.4"
<http://purl.obolibrary.org/obo/NCIT_C173060>	"A question about an individual's smoking history or smoking habit."	
<http://purl.obolibrary.org/obo/MONDO_0006155>	"A well differentiated, low grade neuroendocrine tumor (carcinoid tumor) that arises from the colon. The mitotic count is less than 2 per 10 HPF and/or the Ki67 index is equal to or less than 2 percent."	"NCIT:C5497 EFO:1000188"
<http://purl.obolibrary.org/obo/MONDO_0044014>	"A transient autoimmune Inflammatory disorder of thyroid gland that occurs postpartum due to any partum problem. It is characterized by the presence of high titers of autoantibodies against thyroid peroxidase and thyroglobulin. Clinical signs include the triphasic thyroid hormone pattern: beginning with thyrotoxicosis, followed with hypothyroidism, then return to euthyroid state by 1 year postpartum"	"SCTID:52772002 UMLS:C0271815 NCIT:C114389 MESH:D050032"
<http://purl.obolibrary.org/obo/NCBITaxon_6231>		
<http://purl.obolibrary.org/obo/PATO_0002505>		
<http://purl.obolibrary.org/obo/UBERON_0000993>		
<http://purl.obolibrary.org/obo/UBERON_0003055>		
<http://purl.obolibrary.org/obo/UBERON_0018260>		
<http://purl.obolibrary.org/obo/GO_0048856>		
<http://purl.obolibrary.org/obo/HP_0032263>		
<http://purl.obolibrary.org/obo/HP_0002013>		
<http://purl.obolibrary.org/obo/CL_0008001>		
<http://purl.obolibrary.org/obo/MONDO_0017209>		"GARD:21066 Orphanet:279919"
<http://purl.obolibrary.org/obo/CHEBI_52206>	"A biological role played by the molecular entity or part thereof within a biochemical context."	
<http://purl.obolibrary.org/obo/MONDO_0002156>	"A disease involving the fallopian tube."	"MESH:D005184 SCTID:128134005 NCIT:C26771 UMLS:C0015556 DOID:1962"
<http://purl.obolibrary.org/obo/SYMP_0000488>	"A skin and integumentary tissue symptom that is characterized by the outer layer of the skin starting to replace itself. Often, this happens when skin is damaged, either by disease or injury."	"UMLS_ICD9CM_2005_AUI:A0284161 ICD9CM_2005:782.9 UMLS_CUI:C0159037 UMLS_ICD9CM_2005_AUI:A0284146 ICD9CM_2005:782"
<http://purl.obolibrary.org/obo/CHEBI_35488>	"A loosely defined group of drugs that tend to reduce the activity of the central nervous system."	
<http://purl.obolibrary.org/obo/UBERON_0011272>		
<http://purl.obolibrary.org/obo/MONDO_0005552>	"A disorder that is caused by pathologic changes in the ocular vasculature."	"EFO:0005753 NCIT:C35664"
<https://github.com/bmir-radx/gcbo/nih_ra>		
<http://purl.obolibrary.org/obo/NCBITaxon_8457>		
<http://purl.obolibrary.org/obo/GO_0050911>		
<http://purl.obolibrary.org/obo/NCBITaxon_693660>		
<http://purl.obolibrary.org/obo/NCIT_C83490>	"A finding resulting from the examination of a tissue sample under light or electron microscopy."	
<http://purl.obolibrary.org/obo/HP_0002014>		
<http://purl.obolibrary.org/obo/CL_0008002>		
<http://purl.obolibrary.org/obo/UBERON_0004120>		
<http://purl.obolibrary.org/obo/GO_0009605>		
<http://purl.obolibrary.org/obo/UBERON_0007100>		
<http://purl.obolibrary.org/obo/MONDO_0043786>	"Inflammation of a serous membrane."	"NCIT:C70428 MESH:D012700 SCTID:370469003"
<http://purl.obolibrary.org/obo/GO_0016050>		
<http://purl.obolibrary.org/obo/UBERON_0007499>		
<http://purl.obolibrary.org/obo/NCIT_C20993>	"Any evaluation or assessment tool used to ascertain a patient's condition or diagnosis."	
<http://purl.obolibrary.org/obo/UBERON_0000991>		
<http://purl.obolibrary.org/obo/MONDO_0018534>	"Squamous cell carcinoma of liver and intrahepatic biliary tract is an extremely rare, primary, malignant liver and biliray tract epithelial tumor originating in the intrahepatic bile duct epithelium histologically characterized by the presence of keratinization and/or intracellular bridges. Patients typically present abdominal pain in the right upper quadrant, jaundice, nausea, vomiting, anorexia, weight loss, fever and/or dyspepsia."	"Orphanet:424975 UMLS:C4749400 GARD:21789"
<http://purl.obolibrary.org/obo/CHEBI_24866>	"A salt is an assembly of cations and anions."	
<http://purl.obolibrary.org/obo/UBERON_0013232>		
<http://purl.obolibrary.org/obo/MONDO_0004966>	"Inflammation of the stomach."	"SCTID:4556007 ICD9:535.01 DOID:4029 UMLS:C0017152 ICD9:535.4 MESH:D005756 EFO:0000217 NCIT:C26780 ICD9:535.40 HP:0005263 ICD9:535.00 ICD9:535.41 ICD9:535.0"
<http://purl.obolibrary.org/obo/CL_0002659>		
<http://purl.obolibrary.org/obo/UBERON_0002515>		
<http://purl.obolibrary.org/obo/GO_0048103>		
<http://purl.obolibrary.org/obo/CL_0008007>		
<http://purl.obolibrary.org/obo/GO_1901576>		
<http://purl.obolibrary.org/obo/MONDO_0006643>	"A dilated cardiomyopathy which is associated with consumption of large amounts of alcohol over a period of years."	"SCTID:83521008 MESH:D002310 UMLS:C0007192 ICD10CM:I42.6 DOID:12935 MedDRA:10001616 NCIT:C53653 ICD9:425.5 EFO:1000801"
<http://purl.obolibrary.org/obo/MONDO_0018365>		"UMLS:CN205032 GARD:21650 Orphanet:398940"
<http://purl.obolibrary.org/obo/GO_0016051>		
<http://purl.obolibrary.org/obo/NCBITaxon_9526>		
<http://purl.obolibrary.org/obo/MONDO_0001816>		"ICD9:379.05 SCTID:42574005 DOID:13861 UMLS:C0155355"
<http://purl.obolibrary.org/obo/MONDO_0005371>	"A cognitive disorder a disturbance in which the person's mood is hypothesized to be the main underlying feature."	"ICD9:296.99 DOID:3324 MESH:D019964 NCIT:C92200 UMLS:C0525045 EFO:0004247 SCTID:46206005 ICD10CM:F30-F39"
<http://purl.obolibrary.org/obo/MONDO_0002116>	"A malignant neoplasm that arises from the epithelial cells of the exocrine pancreatic tissue."	"NCIT:C7430 SCTID:255088001 UMLS:C0346648 DOID:1795"
<http://purl.obolibrary.org/obo/CL_0000566>		
<http://purl.obolibrary.org/obo/UBERON_0000992>		
<http://purl.obolibrary.org/obo/CHEBI_23004>	"The univalent carboacyl group formed by loss of -OH from the carboxy group of carbamic acid."	
<http://purl.obolibrary.org/obo/MONDO_0000603>	"A hypersensitivity reaction type II disease that involves the cardiovascular system."	"DOID:0060051"
<http://purl.obolibrary.org/obo/NCBITaxon_6236>		
<http://purl.obolibrary.org/obo/NCBITaxon_6237>		
<http://purl.obolibrary.org/obo/MONDO_0030701>	"An autoimmune form of cardiomyopathy."	"DOID:0040095"
<http://purl.obolibrary.org/obo/MONDO_0021066>	"A benign or malignant, primary or metastatic neoplasm involving the urinary system. --2003"	"ONCOTREE:BLADDER ICD9:239.5 SCTID:126879004 NCIT:C3431"
<http://purl.obolibrary.org/obo/UBERON_0005806>		
<http://purl.obolibrary.org/obo/NCIT_C81229>	"A description of an individual's current and past experience with alcoholic beverage consumption."	
<http://purl.obolibrary.org/obo/CL_0008008>		
<http://purl.obolibrary.org/obo/GO_0016052>		
<http://purl.obolibrary.org/obo/MONDO_0005578>	"An inflammatory process affecting a joint. Causes include infection, autoimmune processes, degenerative processes, and trauma. Signs and symptoms may include swelling around the affected joint and pain."	"DOID:848 EFO:0005856 MESH:D001168 SCTID:3723001 Wikipedia:Arthritis UMLS:C0003864 NCIT:C2883"
<http://purl.obolibrary.org/obo/MONDO_0044925>	"A carcinoma arising in the oral cavity. Most oral cavity carcinomas are squamous cell carcinomas of the tongue, buccal mucosa, or gums. Less frequent morphologic variants include mucoepidermoid carcinoma and adenocarcinoma."	"NCIT:C8990 UMLS:C0151546"
<http://purl.obolibrary.org/obo/MONDO_0100010>	"Disorders that are causes by overuse of tendons."	"SCTID:68172002 EFO:1001434 MESH:D052256"
<http://purl.obolibrary.org/obo/MONDO_0005009>	"Failure of the heart to pump a sufficient amount of blood to meet the needs of the body tissues, resulting in tissue congestion and edema. Signs and symptoms include shortness of breath, pitting edema, enlarged tender liver, engorged neck veins, and pulmonary rales."	"ICD9:428.9 ICD9:404.13 ICD9:404.01 SCTID:42343007 NCIT:C3080 ICD9:428 EFO:0000373 DOID:6000 ICD9:428.0 ICD9:404.11 UMLS:C0018802"
<http://purl.obolibrary.org/obo/MONDO_0005271>	"An immune response that occurs following re-exposure to an innocuous antigen, and that requires the presence of existing antibodies against that antigen. This response involves the binding of IgE to mast cells, and may worsen with repeated exposures."	"DOID:1205 UMLS:C0020517 SCTID:609328004 ICD9:V15.09 EFO:0003785 NCIT:C114476 MESH:D006967 ICD9:995.3"
<http://purl.obolibrary.org/obo/MONDO_0001214>	"Acute inflammation of the conjunctiva."	"ICD9:372.03 UMLS:C0155141 DOID:11184 ICD9:372.00 SCTID:53726008 NCIT:C35195"
<http://purl.obolibrary.org/obo/UBERON_0000118>		
<http://purl.obolibrary.org/obo/GO_0042886>		
<http://purl.obolibrary.org/obo/MONDO_0044997>	"A disease or disorder that involves the midbrain."	"SCTID:95641009 UMLS:C0521655"
<http://purl.obolibrary.org/obo/UBERON_0004911>		
<http://purl.obolibrary.org/obo/MONDO_0001812>		"UMLS:C0155183 ICD9:373.6 SCTID:193922006 DOID:13823"
<http://purl.obolibrary.org/obo/UBERON_0001621>		
<http://purl.obolibrary.org/obo/UBERON_0010077>		
<http://purl.obolibrary.org/obo/HP_0001732>		
<http://purl.obolibrary.org/obo/CHEBI_33245>	"An organic fundamental parent is a structure used as a basis for substitutive names in organic nomenclature, containing, in addition to one or more hydrogen atoms, a single atom of an element, a number of atoms (alike or different) linked together to form an unbranched chain, a monocyclic or polycyclic ring system, or a ring assembly or ring/chain system."	
<http://purl.obolibrary.org/obo/GO_0006575>		
<http://purl.obolibrary.org/obo/NCBITaxon_186627>		
<http://purl.obolibrary.org/obo/UBERON_0000990>		
<http://purl.obolibrary.org/obo/MONDO_0002204>	"Arthritis that is not permanent."	"DOID:2092 ICD9:716.40 SCTID:6011000119108 UMLS:C3887596 ICD9:716.4"
<http://purl.obolibrary.org/obo/UBERON_0010912>		
<http://purl.obolibrary.org/obo/UBERON_0004913>		
<http://purl.obolibrary.org/obo/GO_0006006>		
<http://purl.obolibrary.org/obo/UBERON_0003050>		
<http://purl.obolibrary.org/obo/UBERON_0011143>		
<http://purl.obolibrary.org/obo/SO_0000704>		
<http://purl.obolibrary.org/obo/GO_0002262>		
<http://purl.obolibrary.org/obo/MONDO_0021746>		"EFO:1001835 UMLS:C0034184 MESH:D053653"
<https://github.com/bmir-radx/gcbo/nih_alz>		
<http://purl.obolibrary.org/obo/CHEBI_33318>	"An atom belonging to one of the main groups (found in the s- and p- blocks) of the periodic table."	
<http://purl.obolibrary.org/obo/CHEBI_33676>	"A d-block molecular entity is a molecular entity containing one or more atoms of a d-block element."	
<https://github.com/bmir-radx/gcbo/nih_deaf>		
<http://purl.obolibrary.org/obo/UBERON_0004912>		
<http://purl.obolibrary.org/obo/MONDO_0023113>	"Familial colon cancer is a cluster of colon cancer within a family. Most cases of colon cancer occur sporadically in people with little to no family history of the condition. Approximately 3-5% of colon cancer is considered 'hereditary' and is thought to be caused by an inherited predisposition tocolon cancer that is passed down through a family in an autosomal dominant or autosomal recessive manner. In some of these families, the underlying genetic cause is not known; however, many of these cases are caused by changes (mutations) in the APC , MYH , MLH1 , MSH2 , MSH6 , PMS2 , EPCAM , PTEN , STK11 , SMAD4 , BMPR1A , NTHL1 , POLE , and POLD1 genes (which are associated with hereditary cancer syndromes). An additional 10-30% of people diagnosed with colon cancer have a significant family history of the condition but have no identifiable mutation in a gene known to cause a hereditary predisposition to colon cancer. These clusters of colon cancer are likely due to a combination of gene(s) and other shared factors such as environment and lifestyle. High-risk cancer screening and other preventative measures such as prophylactic surgeries are typically recommended in people who have an increased risk for colon cancer based on their personal and/or family histories."	
<http://purl.obolibrary.org/obo/MONDO_0021238>	"A neoplasm (disease) that involves the cornea."	"NCIT:C4361 UMLS:C0339304"
<http://purl.obolibrary.org/obo/UBERON_0003714>		
<http://purl.obolibrary.org/obo/HP_0001733>		
<http://purl.obolibrary.org/obo/NCIT_C125581>	"The outcome of a pathologic examination."	
<http://purl.obolibrary.org/obo/GO_1901575>		
<http://purl.obolibrary.org/obo/NCBITaxon_186626>		
<http://purl.obolibrary.org/obo/MONDO_0006481>	"A carcinoma that arises from epithelial cells of the ureter."	"UMLS:C0600079 DOID:4939 EFO:1000609 NCIT:C8993 SCTID:448864006"
<https://github.com/bmir-radx/gcbo/nih_vaping_yn>		
<http://purl.obolibrary.org/obo/UBERON_0007237>		
<http://purl.obolibrary.org/obo/MONDO_0002751>	"A carcinoma that arises from glandular epithelial cells of the urinary bladder"	"NCIT:C4032 EFO:1000125 UMLS:C0279682 DOID:3711 SCTID:255110003 ONCOTREE:BLAD"
<http://purl.obolibrary.org/obo/PATO_0000119>	"A 1-D extent quality inhering in a bearer by virtue of the bearer's vertical dimension of extension."	
<http://purl.obolibrary.org/obo/CHEBI_38716>	"Any dianion containing at least one carboxy group."	
<http://purl.obolibrary.org/obo/CL_0000696>		
<http://purl.obolibrary.org/obo/GO_0022600>		
<https://github.com/bmir-radx/gcbo/nih_chronic_pain>		
<http://purl.obolibrary.org/obo/NCBITaxon_8504>		
<http://purl.obolibrary.org/obo/NCIT_C36280>	"Symptoms, physical examination results, and/or laboratory test results related to the nervous system."	
<http://purl.obolibrary.org/obo/NCIT_C69218>	"The pregnancy status of an individual."	
<http://purl.obolibrary.org/obo/PATO_0040072>		
<http://purl.obolibrary.org/obo/CHEBI_33296>	"A molecular entity containing one or more atoms of an alkali metal."	
<http://purl.obolibrary.org/obo/CHEBI_36963>	"An organochalcogen compound containing at least one carbon-oxygen bond."	
<http://purl.obolibrary.org/obo/NCBITaxon_186625>		
<http://purl.obolibrary.org/obo/MONDO_0001269>	"A disorder affecting the sclera. Examples include inflammatory processes (e.g., scleritis and episcleritis), and degenerative processes. Primary tumors of the sclera are extremely rare."	"ICD9:379.19 MESH:D015422 SCTID:33064008 UMLS:C0036412 NCIT:C79717 Orphanet:519298 DOID:11343"
<http://purl.obolibrary.org/obo/UBERON_0001009>		
<http://purl.obolibrary.org/obo/HP_0001735>		
<http://purl.obolibrary.org/obo/CHEBI_36914>		
<http://purl.obolibrary.org/obo/PATO_0000051>	"A quality of a single physical entity inhering in the bearer by virtue of the bearer's size or shape or structure."	
<https://github.com/bmir-radx/gcbo/nih_no_chronic_condition>		
<http://purl.obolibrary.org/obo/MONDO_0000536>	"A squamous cell carcinoma that arises from the pharynx."	"SCTID:408649007 EFO:1001965 UMLS:C1319317 NCIT:C102872 DOID:0050921"
<http://purl.obolibrary.org/obo/NCBITaxon_8505>		
<http://purl.obolibrary.org/obo/NCBITaxon_7742>		
<http://purl.obolibrary.org/obo/GO_0044057>		
<http://purl.obolibrary.org/obo/CHEBI_24835>	"A molecular entity that contains no carbon."	
<http://purl.obolibrary.org/obo/MONDO_0006490>	"A squamous cell carcinoma arising from the vagina. Human papillomavirus infection is associated with the development of vaginal intraepithelial neoplasia and invasive squamous cell carcinoma. Signs and symptoms include painless bleeding, postcoital bleeding, and urinary tract symptoms. Morphologically it resembles squamous cell carcinomas in other anatomic sites. Radiation therapy is the preferred treatment for most cases. The prognosis is related to the stage of the disease."	"SCTID:105121000119102 UMLS:C0238518 EFO:1000620 NCIT:C7736 NCIT:C180915 ONCOTREE:VSC"
<http://purl.obolibrary.org/obo/NCIT_C36278>	"A term that refers to the classification of a clinical or laboratory finding according to the anatomic site or system that is involved."	
<http://purl.obolibrary.org/obo/CHEBI_33837>	"Conjugated protein is a protein that contains a non-peptide component, usually in stoichiometric proportion."	
<http://purl.obolibrary.org/obo/MONDO_0021385>	"A benign or malignant neoplasm that affects the extrahepatic bile ducts. Representative examples include adenoma and adenocarcinoma."	"SCTID:126855001 UMLS:C0345913 NCIT:C4441"
<http://purl.obolibrary.org/obo/UBERON_0000117>		
<http://purl.obolibrary.org/obo/SYMP_0000244>		
<http://purl.obolibrary.org/obo/UBERON_0001444>		
<http://purl.obolibrary.org/obo/MONDO_0024635>	"A disease that involves the small intestine."	"SCTID:119522002 UMLS:C0341268"
<http://purl.obolibrary.org/obo/GO_0060348>		
<http://purl.obolibrary.org/obo/SYMP_0000482>	"A neurological and physiological symptom that is characterized by any condition which is significantly different from a normal waking state."	"UMLS_ICD9CM_2005_AUI:A0389211 UMLS_CUI:C0234428 ICD9CM_2005:780.0"
<http://purl.obolibrary.org/obo/GO_0035239>		
<http://purl.obolibrary.org/obo/CHEBI_51447>		
<http://purl.obolibrary.org/obo/MONDO_0006026>	"A disease involving the urinary bladder."	"UMLS:C0005686 DOID:365 MESH:D001745 NCIT:C2900 SCTID:42643001 ICD9:596.9 EFO:1000018 ICD9:596.8"
<http://purl.obolibrary.org/obo/CHEBI_36915>		
<http://purl.obolibrary.org/obo/UBERON_0000113>		
<http://purl.obolibrary.org/obo/UBERON_0000379>		
<http://purl.obolibrary.org/obo/GO_0043292>		
<http://purl.obolibrary.org/obo/MONDO_0000621>	"A malignant neoplasm involving the immune system"	"DOID:0060083"
<http://purl.obolibrary.org/obo/MONDO_0021166>	"A disease involving a pathogenic inflammatory response in the anatomical structure."	"UMLS:C1290884 SCTID:128139000 NCIT:C93210 ICD9:799.89"
<http://purl.obolibrary.org/obo/NCIT_C20181>	"An organizational header for concepts representing mostly abstract entities."	
<http://purl.obolibrary.org/obo/HP_0010535>	"An intermittent cessation of airflow at the mouth and nose during sleep is known as sleep apnea. Apneas that last at least 10 seconds are considered significant, but individuals with sleep apnea may experience apneas lasting from 20 seconds up to 2 or 3 minutes. Patients may have up to 15 events per hour of sleep."	
<http://purl.obolibrary.org/obo/GO_0098588>		
<http://purl.obolibrary.org/obo/CHEBI_38077>	"A compound composed of two or more pyrrole units."	
<http://purl.obolibrary.org/obo/MONDO_0002271>	"A carcinoma that arises from glandular epithelial cells of the colon"	"NCIT:C4349 ONCOTREE:COAD UMLS:C0338106 EFO:1001949 DOID:234"
<http://purl.obolibrary.org/obo/UBERON_0003975>		
<http://purl.obolibrary.org/obo/UBERON_0003842>		
<http://purl.obolibrary.org/obo/UBERON_0003408>		
<http://purl.obolibrary.org/obo/GO_0016053>		
<http://purl.obolibrary.org/obo/CL_0008009>		
<http://purl.obolibrary.org/obo/MONDO_0005247>	"A bacterial infectious process affecting any part of the urinary tract, most commonly the bladder and the urethra. Symptoms include urinary urgency and frequency, burning sensation during urination, lower abdominal discomfort, and cloudy urine."	"SCTID:68566005 EFO:0003103 NCIT:C50791 ICD9:599.0"
<http://purl.obolibrary.org/obo/NCBITaxon_186623>		
<https://github.com/bmir-radx/gcbo/nih_nausea_vomiting_diarrhea>		
<http://purl.obolibrary.org/obo/MONDO_0021209>	"A neoplasm (disease) that involves the heart."	"NCIT:C3081 EFO:1001339"
<http://purl.obolibrary.org/obo/CHEBI_33233>	"A particle not known to have substructure."	
<https://github.com/bmir-radx/gcbo/nih_obesity>		
<http://purl.obolibrary.org/obo/NCIT_C35461>	"A term that refers to the nature and/or clinical outcome of a disease (e.g., acute or chronic disease, aggressive or indolent disease, recurrent disease, etc.)."	
<http://purl.obolibrary.org/obo/CHEBI_51446>		
<http://purl.obolibrary.org/obo/NCIT_C97325>	"A physical object created by hand or machine."	
<http://purl.obolibrary.org/obo/MONDO_0002263>	"A disease involving the female reproductive system."	"DOID:229 NCIT:C27020 ICD9:629.9 SCTID:310789003 MESH:D005831"
<http://purl.obolibrary.org/obo/NCBITaxon_6239>		
